# threads seq par unseq speedup_par speedup_unseq eff_par eff_unseq
1 933.921400 863.672000 894.477400 1.0813 1.0440 1.0813 1.0440
2 860.093800 912.814200 895.280000 1.0231 1.0431 .5115 .5215
3 832.384800 832.282200 899.071000 1.1221 1.0387 .3740 .3462
4 894.465000 841.011400 910.863400 1.1104 1.0253 .2776 .2563
5 820.989200 841.191400 992.740000 1.1102 .9407 .2220 .1881
6 836.820000 836.315000 875.651600 1.1167 1.0665 .1861 .1777
7 834.399400 842.513200 903.650200 1.1084 1.0334 .1583 .1476
8 852.255000 836.176400 903.581800 1.1168 1.0335 .1396 .1291
9 823.833600 836.961800 901.260600 1.1158 1.0362 .1239 .1151
10 808.070000 818.749400 872.989400 1.1406 1.0697 .1140 .1069
11 805.894600 804.677600 858.672400 1.1606 1.0876 .1055 .0988
12 824.633200 849.441400 895.690200 1.0994 1.0426 .0916 .0868
13 810.752400 795.492600 837.306400 1.1740 1.1153 .0903 .0857
